Tilenum, RMS
10607, 0.2187
18800, 0.1126
26993, 0.7738
26994, 0.1320
10616, 0.5265
10618, 0.7476
43389, 0.1990
2433, 0.3590
2435, 0.2885
28167, 0.1748
27016, 0.1176
18157, 0.1310
23619, 1.4516
27030, 0.2237
23620, 0.2719
36089, 0.1405
23621, 0.3074
22256, 0.3545
15430, 1.4281
10662, 0.1626
1777, 0.6580
2472, 0.1410
27906, 0.1332
3143, 1.0636
14267, 1.2022
15432, 0.5350
1779, 0.6979
15433, 0.3580
15434, 0.1910
27073, 0.1432
15435, 0.2222
10695, 0.1473
27907, 0.1313
15436, 0.2957
18894, 0.3641
23629, 0.3761
40279, 1.0452
15438, 0.2449
22265, 0.2982
27097, 0.9120
23631, 0.4339
23560, 0.2539
38650, 0.6795
23816, 0.6368
22267, 0.2890
30363, 0.2505
27729, 0.0888
22268, 0.3223
23634, 0.2972
23635, 0.3103
10740, 0.2096
10741, 0.8250
10743, 0.8291
19540, 0.1303
23817, 1.3351
10749, 0.3604
10751, 0.2090
27136, 0.1213
2561, 0.2367
2564, 0.2006
18949, 0.1191
10758, 0.3198
18177, 0.2222
10761, 0.1241
2570, 0.6469
2571, 0.2997
35820, 0.1138
23640, 0.3637
30623, 1.2930
46987, 0.1404
23641, 0.4655
18180, 0.7472
23818, 0.4106
23642, 0.3547
2592, 0.6818
2593, 0.4730
23643, 0.4416
48490, 0.5201
10790, 0.1831
23644, 0.3956
23645, 0.3557
19550, 0.1966
26377, 0.2737
23819, 0.9311
2619, 1.0273
1451, 0.8286
2622, 0.6285
2623, 0.5084
19009, 0.3423
1805, 0.3004
19026, 0.1564
19027, 0.6152
19029, 0.0880
19030, 0.7895
19031, 0.0932
19032, 0.1848
10841, 0.1451
2650, 0.1751
2651, 0.4511
2652, 0.1672
10846, 0.2551
10847, 0.2119
27239, 1.0377
10856, 0.1658
29116, 0.6678
2666, 0.5943
2667, 0.8780
27244, 2.1156
27245, 0.5602
27247, 0.7272
2672, 0.6149
27250, 0.8106
26276, 0.3035
29118, 0.5473
2680, 0.4540
27257, 0.4127
27258, 0.0243
27259, 0.2664
27260, 0.8513
11370, 0.1294
27262, 1.1118
15638, 0.3188
19076, 0.2407
19078, 0.2858
10888, 0.2467
26004, 0.2400
19085, 0.1254
10894, 0.3218
27279, 0.3057
2705, 0.9589
2707, 5.2381
2708, 0.2243
2709, 0.7682
2710, 2.8196
2711, 5.1726
27288, 0.2262
2713, 0.1999
27914, 0.1623
43677, 0.1160
10912, 0.1842
23664, 0.3885
27298, 0.3091
27299, 0.2414
2724, 0.1531
27301, 0.2958
23665, 0.3641
26005, 0.2415
27305, 0.2092
27306, 0.3506
19115, 0.1927
27308, 0.2047
10925, 0.1610
19118, 0.1493
10927, 0.3177
27312, 1.0368
23667, 0.3465
10936, 0.1730
27321, 0.2783
10938, 0.2607
27323, 0.2532
10941, 0.2300
27326, 0.1926
2751, 0.6882
2752, 0.7091
2753, 1.3058
27333, 1.4721
26006, 0.2949
27339, 0.4892
26279, 0.2562
27342, 0.1354
10959, 0.1884
27344, 0.7918
27345, 1.0545
1827, 0.3106
27348, 4.4968
27349, 0.1017
27350, 0.1156
27351, 0.1485
26404, 0.2044
10970, 0.2882
10976, 0.1666
10977, 0.1882
10978, 0.2589
10979, 0.1637
10980, 0.2707
10982, 0.2971
10984, 0.1292
10985, 0.1713
2794, 0.4789
35563, 0.5255
27773, 0.3485
27733, 0.3018
18022, 0.7870
35575, 0.3365
25044, 0.6203
35578, 0.3336
27387, 0.2140
11004, 2.0371
11006, 0.3476
11007, 0.5216
2816, 0.1549
11026, 0.2372
11027, 0.2492
35608, 0.3508
35829, 0.2193
35615, 0.2976
11042, 0.3393
27428, 0.2125
11048, 0.5913
1842, 0.7077
35635, 0.3797
20855, 0.6218
15644, 1.5739
47014, 0.2622
27297, 0.2587
35643, 0.3944
35644, 0.3893
27457, 0.2739
11080, 0.1523
35658, 1.0120
35659, 0.3894
11086, 0.2081
1848, 0.8209
27476, 0.2557
19598, 0.1528
27102, 0.4010
11101, 0.2068
35680, 0.4407
35681, 0.4335
26638, 0.3845
1851, 0.3259
40609, 0.3116
11112, 0.1212
35691, 0.2782
35694, 0.4082
11122, 0.3191
35704, 0.3942
27514, 0.1494
2941, 1.8823
2943, 0.9355
2945, 0.2710
2948, 0.1851
19333, 0.1139
2950, 0.6477
2957, 0.2056
35728, 0.4023
35729, 0.9026
32014, 0.9045
35732, 0.3640
35733, 0.9344
19350, 0.1027
19351, 0.1321
35740, 0.2356
35741, 0.3698
35742, 0.2940
35743, 0.3968
35745, 0.4664
2978, 0.5190
2979, 0.6343
35750, 0.3923
35752, 0.3520
11177, 0.5827
19370, 0.2443
19371, 0.2300
11180, 0.3806
35757, 0.3611
35759, 0.2693
35761, 0.3897
35763, 0.1788
1865, 0.3419
35769, 0.1950
35770, 0.4051
11204, 0.2359
11206, 0.1723
35784, 0.3668
35786, 0.3655
3021, 1.6903
3023, 1.1086
3025, 2.5325
3027, 0.9777
3028, 0.8798
3029, 0.4653
3030, 0.3459
3031, 0.3225
3032, 0.9000
3033, 0.5479
3034, 0.3861
11227, 1.5664
3036, 0.3190
3037, 0.3228
3038, 0.3328
11231, 1.5848
3041, 1.3796
3043, 0.9426
3044, 0.8343
3045, 0.4593
3046, 0.3533
3047, 0.3808
44008, 0.2460
3049, 1.2958
3052, 0.8806
3053, 1.1967
3054, 2.5106
3055, 0.9681
3056, 0.3133
11249, 0.5312
3058, 0.6553
3059, 0.7782
3060, 0.3463
11253, 0.8182
3062, 0.3641
3063, 0.3398
3064, 1.0330
3065, 0.4975
3066, 0.3185
3067, 0.4841
3068, 0.2297
3069, 0.5853
3070, 1.0935
11264, 0.1652
27650, 0.1828
27656, 0.2537
27660, 0.2110
19470, 0.1295
23562, 1.2330
19486, 0.1821
19487, 0.1139
42738, 0.3490
39930, 1.3813
44082, 0.1461
